Category: All categories

Week,covid symptoms: (Michigan)
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,1
2018-06-03,1
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,1
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,0
2018-11-25,1
2018-12-02,0
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,<1
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,0
2019-02-10,0
2019-02-17,0
2019-02-24,0
2019-03-03,0
2019-03-10,0
2019-03-17,0
2019-03-24,0
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,0
2019-04-28,0
2019-05-05,0
2019-05-12,0
2019-05-19,0
2019-05-26,0
2019-06-02,1
2019-06-09,0
2019-06-16,0
2019-06-23,0
2019-06-30,<1
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,0
2019-08-25,0
2019-09-01,1
2019-09-08,<1
2019-09-15,0
2019-09-22,0
2019-09-29,0
2019-10-06,1
2019-10-13,0
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,0
2019-11-17,0
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,<1
2020-02-23,1
2020-03-01,3
2020-03-08,33
2020-03-15,69
2020-03-22,81
2020-03-29,75
2020-04-05,50
2020-04-12,34
2020-04-19,32
2020-04-26,28
2020-05-03,27
2020-05-10,27
2020-05-17,22
2020-05-24,21
2020-05-31,21
2020-06-07,17
2020-06-14,18
2020-06-21,31
2020-06-28,45
2020-07-05,53
2020-07-12,55
2020-07-19,43
2020-07-26,47
2020-08-02,45
2020-08-09,41
2020-08-16,37
2020-08-23,33
2020-08-30,34
2020-09-06,33
2020-09-13,35
2020-09-20,38
2020-09-27,43
2020-10-04,49
2020-10-11,46
2020-10-18,50
2020-10-25,59
2020-11-01,62
2020-11-08,90
2020-11-15,99
2020-11-22,76
2020-11-29,61
2020-12-06,53
2020-12-13,45
2020-12-20,47
2020-12-27,43
2021-01-03,39
2021-01-10,34
2021-01-17,26
2021-01-24,31
2021-01-31,26
2021-02-07,30
2021-02-14,25
2021-02-21,24
2021-02-28,24
2021-03-07,30
2021-03-14,32
2021-03-21,52
2021-03-28,65
2021-04-04,65
2021-04-11,59
2021-04-18,47
2021-04-25,40
2021-05-02,29
2021-05-09,24
2021-05-16,19
2021-05-23,14
2021-05-30,15
2021-06-06,14
2021-06-13,12
2021-06-20,13
2021-06-27,11
2021-07-04,14
2021-07-11,15
2021-07-18,19
2021-07-25,25
2021-08-01,31
2021-08-08,35
2021-08-15,34
2021-08-22,36
2021-08-29,39
2021-09-05,43
2021-09-12,49
2021-09-19,41
2021-09-26,37
2021-10-03,37
2021-10-10,34
2021-10-17,33
2021-10-24,36
2021-10-31,41
2021-11-07,45
2021-11-14,46
2021-11-21,48
2021-11-28,58
2021-12-05,43
2021-12-12,46
2021-12-19,85
2021-12-26,99
2022-01-02,100
2022-01-09,78
2022-01-16,58
2022-01-23,45
2022-01-30,27
2022-02-06,17
2022-02-13,15
2022-02-20,12
2022-02-27,11
2022-03-06,10
2022-03-13,13
2022-03-20,14
2022-03-27,12
2022-04-03,13
2022-04-10,15
2022-04-17,16
2022-04-24,20
2022-05-01,22
2022-05-08,27
2022-05-15,25
2022-05-22,22
2022-05-29,20
2022-06-05,19
2022-06-12,16
2022-06-19,19
2022-06-26,20
2022-07-03,20
2022-07-10,24
2022-07-17,29
2022-07-24,31
2022-07-31,27
2022-08-07,25
2022-08-14,24
2022-08-21,22
2022-08-28,22
2022-09-04,22
2022-09-11,19
2022-09-18,19
2022-09-25,16
2022-10-02,16
2022-10-09,15
2022-10-16,16
2022-10-23,18
2022-10-30,15
2022-11-06,12
2022-11-13,12
2022-11-20,14
2022-11-27,14
2022-12-04,14
2022-12-11,20
2022-12-18,20
2022-12-25,19
2023-01-01,17
2023-01-08,14
2023-01-15,10
2023-01-22,11
2023-01-29,9
2023-02-05,11
2023-02-12,10
2023-02-19,9
2023-02-26,8
2023-03-05,9
2023-03-12,11
2023-03-19,10
2023-03-26,8
2023-04-02,9
2023-04-09,7
2023-04-16,6
