Category: All categories

Week,influenza: (Detroit MI)
2018-04-22,10
2018-04-29,10
2018-05-06,2
2018-05-13,3
2018-05-20,9
2018-05-27,9
2018-06-03,3
2018-06-10,3
2018-06-17,0
2018-06-24,11
2018-07-01,0
2018-07-08,0
2018-07-15,7
2018-07-22,11
2018-07-29,6
2018-08-05,9
2018-08-12,8
2018-08-19,11
2018-08-26,0
2018-09-02,5
2018-09-09,6
2018-09-16,5
2018-09-23,9
2018-09-30,3
2018-10-07,4
2018-10-14,9
2018-10-21,2
2018-10-28,0
2018-11-04,4
2018-11-11,8
2018-11-18,0
2018-11-25,6
2018-12-02,8
2018-12-09,10
2018-12-16,8
2018-12-23,11
2018-12-30,12
2019-01-06,12
2019-01-13,22
2019-01-20,19
2019-01-27,21
2019-02-03,19
2019-02-10,16
2019-02-17,21
2019-02-24,21
2019-03-03,36
2019-03-10,37
2019-03-17,59
2019-03-24,47
2019-03-31,23
2019-04-07,25
2019-04-14,18
2019-04-21,11
2019-04-28,9
2019-05-05,8
2019-05-12,15
2019-05-19,6
2019-05-26,2
2019-06-02,2
2019-06-09,6
2019-06-16,4
2019-06-23,4
2019-06-30,3
2019-07-07,0
2019-07-14,6
2019-07-21,5
2019-07-28,3
2019-08-04,9
2019-08-11,2
2019-08-18,0
2019-08-25,4
2019-09-01,4
2019-09-08,6
2019-09-15,3
2019-09-22,8
2019-09-29,6
2019-10-06,4
2019-10-13,10
2019-10-20,12
2019-10-27,9
2019-11-03,10
2019-11-10,10
2019-11-17,11
2019-11-24,8
2019-12-01,13
2019-12-08,18
2019-12-15,23
2019-12-22,46
2019-12-29,58
2020-01-05,44
2020-01-12,51
2020-01-19,47
2020-01-26,67
2020-02-02,68
2020-02-09,68
2020-02-16,65
2020-02-23,83
2020-03-01,71
2020-03-08,100
2020-03-15,94
2020-03-22,62
2020-03-29,42
2020-04-05,35
2020-04-12,26
2020-04-19,32
2020-04-26,23
2020-05-03,16
2020-05-10,14
2020-05-17,15
2020-05-24,17
2020-05-31,2
2020-06-07,5
2020-06-14,5
2020-06-21,7
2020-06-28,9
2020-07-05,7
2020-07-12,15
2020-07-19,3
2020-07-26,7
2020-08-02,6
2020-08-09,7
2020-08-16,17
2020-08-23,6
2020-08-30,5
2020-09-06,5
2020-09-13,11
2020-09-20,8
2020-09-27,6
2020-10-04,12
2020-10-11,15
2020-10-18,6
2020-10-25,13
2020-11-01,9
2020-11-08,17
2020-11-15,11
2020-11-22,4
2020-11-29,13
2020-12-06,4
2020-12-13,3
2020-12-20,8
2020-12-27,11
2021-01-03,4
2021-01-10,8
2021-01-17,3
2021-01-24,7
2021-01-31,7
2021-02-07,8
2021-02-14,4
2021-02-21,11
2021-02-28,5
2021-03-07,8
2021-03-14,7
2021-03-21,10
2021-03-28,6
2021-04-04,7
2021-04-11,9
2021-04-18,10
2021-04-25,5
2021-05-02,6
2021-05-09,0
2021-05-16,6
2021-05-23,2
2021-05-30,4
2021-06-06,0
2021-06-13,0
2021-06-20,0
2021-06-27,0
2021-07-04,0
2021-07-11,6
2021-07-18,4
2021-07-25,2
2021-08-01,3
2021-08-08,10
2021-08-15,0
2021-08-22,14
2021-08-29,5
2021-09-05,12
2021-09-12,5
2021-09-19,4
2021-09-26,6
2021-10-03,11
2021-10-10,9
2021-10-17,4
2021-10-24,8
2021-10-31,16
2021-11-07,10
2021-11-14,18
2021-11-21,15
2021-11-28,9
2021-12-05,17
2021-12-12,16
2021-12-19,13
2021-12-26,8
2022-01-02,23
2022-01-09,13
2022-01-16,7
2022-01-23,3
2022-01-30,2
2022-02-06,3
2022-02-13,6
2022-02-20,0
2022-02-27,9
2022-03-06,6
2022-03-13,6
2022-03-20,12
2022-03-27,18
2022-04-03,13
2022-04-10,19
2022-04-17,17
2022-04-24,35
2022-05-01,33
2022-05-08,35
2022-05-15,26
2022-05-22,18
2022-05-29,11
2022-06-05,10
2022-06-12,7
2022-06-19,3
2022-06-26,7
2022-07-03,3
2022-07-10,2
2022-07-17,0
2022-07-24,7
2022-07-31,3
2022-08-07,5
2022-08-14,3
2022-08-21,5
2022-08-28,9
2022-09-04,6
2022-09-11,7
2022-09-18,10
2022-09-25,7
2022-10-02,0
2022-10-09,3
2022-10-16,12
2022-10-23,7
2022-10-30,13
2022-11-06,14
2022-11-13,16
2022-11-20,17
2022-11-27,30
2022-12-04,39
2022-12-11,61
2022-12-18,60
2022-12-25,53
2023-01-01,25
2023-01-08,8
2023-01-15,10
2023-01-22,10
2023-01-29,13
2023-02-05,8
2023-02-12,5
2023-02-19,9
2023-02-26,6
2023-03-05,6
2023-03-12,5
2023-03-19,7
2023-03-26,10
2023-04-02,2
2023-04-09,7
2023-04-16,0
