Category: All categories

Week,flu symptoms: (Michigan)
2018-04-22,13
2018-04-29,16
2018-05-06,16
2018-05-13,8
2018-05-20,7
2018-05-27,6
2018-06-03,7
2018-06-10,6
2018-06-17,6
2018-06-24,5
2018-07-01,4
2018-07-08,8
2018-07-15,3
2018-07-22,5
2018-07-29,13
2018-08-05,7
2018-08-12,15
2018-08-19,11
2018-08-26,15
2018-09-02,10
2018-09-09,8
2018-09-16,14
2018-09-23,15
2018-09-30,15
2018-10-07,17
2018-10-14,16
2018-10-21,19
2018-10-28,19
2018-11-04,12
2018-11-11,20
2018-11-18,14
2018-11-25,20
2018-12-02,17
2018-12-09,22
2018-12-16,21
2018-12-23,33
2018-12-30,31
2019-01-06,30
2019-01-13,24
2019-01-20,30
2019-01-27,26
2019-02-03,21
2019-02-10,21
2019-02-17,25
2019-02-24,28
2019-03-03,29
2019-03-10,35
2019-03-17,42
2019-03-24,39
2019-03-31,27
2019-04-07,20
2019-04-14,25
2019-04-21,15
2019-04-28,17
2019-05-05,14
2019-05-12,6
2019-05-19,10
2019-05-26,0
2019-06-02,3
2019-06-09,6
2019-06-16,8
2019-06-23,4
2019-06-30,5
2019-07-07,5
2019-07-14,5
2019-07-21,7
2019-07-28,12
2019-08-04,4
2019-08-11,7
2019-08-18,6
2019-08-25,7
2019-09-01,6
2019-09-08,9
2019-09-15,5
2019-09-22,12
2019-09-29,12
2019-10-06,21
2019-10-13,21
2019-10-20,23
2019-10-27,19
2019-11-03,17
2019-11-10,18
2019-11-17,25
2019-11-24,17
2019-12-01,32
2019-12-08,37
2019-12-15,38
2019-12-22,46
2019-12-29,55
2020-01-05,61
2020-01-12,54
2020-01-19,49
2020-01-26,52
2020-02-02,61
2020-02-09,54
2020-02-16,56
2020-02-23,46
2020-03-01,64
2020-03-08,100
2020-03-15,91
2020-03-22,57
2020-03-29,27
2020-04-05,18
2020-04-12,13
2020-04-19,11
2020-04-26,7
2020-05-03,6
2020-05-10,7
2020-05-17,2
2020-05-24,4
2020-05-31,0
2020-06-07,2
2020-06-14,3
2020-06-21,4
2020-06-28,6
2020-07-05,2
2020-07-12,6
2020-07-19,6
2020-07-26,6
2020-08-02,5
2020-08-09,7
2020-08-16,0
2020-08-23,6
2020-08-30,7
2020-09-06,8
2020-09-13,7
2020-09-20,9
2020-09-27,14
2020-10-04,17
2020-10-11,12
2020-10-18,18
2020-10-25,16
2020-11-01,10
2020-11-08,14
2020-11-15,15
2020-11-22,16
2020-11-29,10
2020-12-06,10
2020-12-13,12
2020-12-20,15
2020-12-27,7
2021-01-03,6
2021-01-10,8
2021-01-17,7
2021-01-24,12
2021-01-31,6
2021-02-07,5
2021-02-14,7
2021-02-21,0
2021-02-28,9
2021-03-07,7
2021-03-14,8
2021-03-21,8
2021-03-28,10
2021-04-04,8
2021-04-11,5
2021-04-18,10
2021-04-25,4
2021-05-02,10
2021-05-09,3
2021-05-16,3
2021-05-23,5
2021-05-30,5
2021-06-06,6
2021-06-13,2
2021-06-20,4
2021-06-27,6
2021-07-04,2
2021-07-11,0
2021-07-18,5
2021-07-25,3
2021-08-01,6
2021-08-08,6
2021-08-15,8
2021-08-22,8
2021-08-29,18
2021-09-05,9
2021-09-12,12
2021-09-19,12
2021-09-26,11
2021-10-03,15
2021-10-10,16
2021-10-17,13
2021-10-24,16
2021-10-31,20
2021-11-07,26
2021-11-14,32
2021-11-21,27
2021-11-28,26
2021-12-05,14
2021-12-12,22
2021-12-19,29
2021-12-26,27
2022-01-02,31
2022-01-09,32
2022-01-16,24
2022-01-23,16
2022-01-30,11
2022-02-06,15
2022-02-13,11
2022-02-20,14
2022-02-27,14
2022-03-06,17
2022-03-13,16
2022-03-20,22
2022-03-27,19
2022-04-03,20
2022-04-10,16
2022-04-17,21
2022-04-24,19
2022-05-01,20
2022-05-08,23
2022-05-15,17
2022-05-22,12
2022-05-29,15
2022-06-05,8
2022-06-12,8
2022-06-19,5
2022-06-26,9
2022-07-03,9
2022-07-10,5
2022-07-17,7
2022-07-24,9
2022-07-31,6
2022-08-07,5
2022-08-14,6
2022-08-21,7
2022-08-28,7
2022-09-04,11
2022-09-11,13
2022-09-18,10
2022-09-25,4
2022-10-02,12
2022-10-09,17
2022-10-16,18
2022-10-23,18
2022-10-30,17
2022-11-06,18
2022-11-13,17
2022-11-20,29
2022-11-27,41
2022-12-04,39
2022-12-11,64
2022-12-18,65
2022-12-25,51
2023-01-01,29
2023-01-08,24
2023-01-15,15
2023-01-22,12
2023-01-29,8
2023-02-05,17
2023-02-12,11
2023-02-19,9
2023-02-26,13
2023-03-05,13
2023-03-12,17
2023-03-19,18
2023-03-26,16
2023-04-02,13
2023-04-09,13
2023-04-16,0
